log_timestamp,action_type,user_id,details
2025-12-14T12:05:03.842585,LISTING_DELETED,Shapoorji,Soft-deleted listing: Saffron (TS: 2025-12-06T15:27:01.940019)
2025-12-14T12:05:11.113581,LISTING_DELETED,Shapoorji,Soft-deleted listing: Mehta (TS: 2025-12-06T21:39:09.286376)
2025-12-15T12:43:56.879514,LISTING_CREATED,Godrej,New core listing created: Passi Flora
2025-12-15T12:50:58.516850,PROFILE_EDITED,Godrej,Edited profile for Passi Flora (TS: 2025-12-15T12:43:56.868039). Changes: 6
2025-12-15T12:58:36.750577,PROFILE_EDITED,Godrej,Edited profile for Passi Flora (TS: 2025-12-15T12:43:56.868039). Changes: 2
2025-12-15T13:01:06.255198,PROFILE_EDITED,Godrej,Edited profile for Passi Flora (TS: 2025-12-15T12:43:56.868039). Changes: 4
2025-12-15T13:04:25.974411,PROFILE_EDITED,Godrej,Edited profile for Passi Flora (TS: 2025-12-15T12:43:56.868039). Changes: 3
2025-12-15T13:12:56.314740,PROFILE_EDITED,Godrej,Edited profile for Passi Flora (TS: 2025-12-15T12:43:56.868039). Changes: 4
2025-12-15T13:17:03.698500,LISTING_EDITED,Godrej,Updated core listing (TS: 2025-12-15T12:43:56.868039). Changes: 1
2025-12-15T13:17:36.232011,PROFILE_EDITED,Godrej,Edited profile for Passi Flora (TS: 2025-12-15T12:43:56.868039). Changes: 3
2025-12-15T13:18:23.638391,MEDIA_UPLOADED,Godrej,Uploaded 6 file(s) to listing 2025-12-15T12:43:56.868039
2025-12-20T18:24:30.878727,LISTING_CREATED,SUN,New core listing created: Shyam Gokul
2025-12-20T18:25:39.081698,LISTING_CREATED,SUN,New core listing created: Parshwa Towers
2025-12-20T18:27:55.080766,LISTING_CREATED,SUN,New core listing created: Prerna Society
2025-12-29T20:09:35.062543,PROFILE_EDITED,SUN,Edited profile for Parshwa Towers (TS: 2025-12-20T18:25:39.079363). Changes: 3
2025-12-29T20:10:22.764430,PROFILE_EDITED,SUN,Edited profile for Prerna Society (TS: 2025-12-20T18:27:55.080766). Changes: 3
2025-12-30T11:56:33.200059,LISTING_CREATED,solankirealty,New core listing created: Diamond Coast
2025-12-30T11:57:30.100781,PROFILE_EDITED,solankirealty,Edited profile for Diamond Coast (TS: 2025-12-30T11:56:33.196201). Changes: 3
2025-12-30T11:57:57.905407,MEDIA_UPLOADED,solankirealty,Uploaded 6 file(s) to listing 2025-12-30T11:56:33.196201
